sec nanosec target_world_x target_world_y target_world_z filtered_world_x filtered_world_y filtered_world_z raw_yaw filter_yaw center_x center_y center_r center_vx center_vy method solve_ok time_cost
0 600000000 2.8837 -0.105361 0.12925 2.8825 -0.107246 0.129261 -1.21835 0.405386 3.1234 -0.00386144 0.262149 -0.835975 0.468105 ekf 1 0.179855
0 616666666 2.92002 -0.0917998 0.132932 2.92002 -0.0917998 0.132932 -1.30664 0.405386 3.1234 -0.00386144 0 -0.835975 0.468105 ekf 0 0.179855
0 633333333 2.83416 -0.0746537 0.127538 2.8346 -0.0752749 0.127544 -1.27604 0.291584 3.08405 -0.000405209 0.260444 -0.00867778 0.0158962 ekf 1 0.195185
0 650000000 2.8633 -0.0606345 0.128181 2.85393 -0.0649717 0.128069 -1.3576 0.251657 3.10474 -0.000486495 0.258968 0.391953 0.196183 ekf 1 0.197085
0 666666666 2.84299 -0.0446374 0.128533 2.84882 -0.0496559 0.128502 -1.40346 0.216938 3.10295 0.00635548 0.260227 0.13772 0.414793 ekf 1 0.184492
0 683333333 2.84351 -0.0300558 0.129356 2.84612 -0.0338272 0.129241 -1.41106 0.193657 3.10219 0.0163919 0.260948 0.0530308 0.524258 ekf 1 0.192261
0 700000000 2.8355 -0.0137703 0.129499 2.83975 -0.017415 0.129561 -1.41727 0.175756 3.09728 0.028318 0.261551 -0.0503091 0.592958 ekf 1 0.177233
0 716666666 2.85252 0.00186137 0.129891 2.85252 0.00186137 0.129891 -1.58518 0.175756 3.09728 0.028318 0 -0.0503091 0.592958 ekf 0 0.177233
0 733333333 2.86418 0.0175067 0.133074 2.86449 0.0174272 0.133071 -1.52726 0.0382685 3.12418 0.02737 0.259881 0.00116704 0.00217244 ekf 1 0.184288
0 750000000 2.86341 0.0334515 0.130646 2.86376 0.0281111 0.131066 -1.54172 0.0333937 3.12278 0.0367642 0.259169 -0.0134351 0.224975 ekf 1 0.184084
0 766666666 2.85552 0.0488352 0.133269 2.85552 0.0488352 0.133269 -1.65037 0.0333937 3.12278 0.0367642 0 -0.0134351 0.224975 ekf 0 0.184084
0 783333333 2.88031 0.0647365 0.135075 2.88024 0.0648251 0.135073 -1.6351 -0.0656306 3.13941 0.0477916 0.259724 0.00246588 -0.00216683 ekf 1 0.172377
0 800000000 2.89322 0.080617 0.13581 2.88906 0.0755067 0.135683 -1.68284 -0.0894934 3.14704 0.0523571 0.259019 0.179332 0.209819 ekf 1 0.174516
0 816666666 2.88891 0.0958979 0.137084 2.89018 0.0908674 0.136885 -1.74424 -0.123783 3.14775 0.0588214 0.259551 0.127659 0.424059 ekf 1 0.183229
0 833333333 2.88151 0.110883 0.13674 2.88572 0.107469 0.136946 -1.81086 -0.168319 3.14236 0.063858 0.260323 -0.0202575 0.490834 ekf 1 0.179415
0 850000000 2.87876 0.125486 0.137443 2.88194 0.123313 0.137447 -1.86694 -0.218413 3.13646 0.0668208 0.260716 -0.107169 0.466418 ekf 1 0.244972
0 866666666 2.90558 0.141205 0.139889 2.89613 0.138884 0.139326 -1.90344 -0.266824 3.14774 0.0701065 0.260848 0.0631732 0.433359 ekf 1 0.185337
0 883333333 2.90761 0.155537 0.139957 2.90421 0.1538 0.140008 -1.94974 -0.316976 3.15217 0.0724581 0.260967 0.100819 0.389869 ekf 1 0.18146
0 900000000 2.90307 0.169067 0.140895 2.90575 0.168069 0.14086 -2.00592 -0.371403 3.14874 0.0734317 0.260765 0.0550159 0.339792 ekf 1 0.180513
0 916666666 2.90587 0.182651 0.142119 2.90804 0.181887 0.141965 -2.0596 -0.427709 3.14503 0.0738534 0.260456 0.0191412 0.294841 ekf 1 0.180796
0 933333333 2.88334 0.193889 0.142259 2.89747 0.194602 0.142438 -2.12248 -0.487575 3.12603 0.0734008 0.258708 -0.11489 0.250488 ekf 1 0.178334
0 950000000 2.93568 0.209898 0.145475 2.91859 0.207763 0.144715 -2.14468 -0.537604 3.14268 0.0741673 0.260888 0.000305965 0.227506 ekf 1 0.171162
